metric_key,metric_name,year,value,unit,source_type,source_file,page,source_url,evidence_text,confidence,status,note
roe,加权平均净资产收益率,2023,11.8,%,annual_report,中远海控2023年报.pdf,7,,常性损益后的基本每股收益（元／股） 1.47 6.80 6.79 -78.38 5.59 5.58 加权平均净资产收益率（%） 11.80 59.84 59.56 减少48.04个百分点 100.57 100.52 扣除非经常性损益后的加权平均净资产收益率（%） 11.74 59.44 59.43,high,reviewed,
terminal_revenue,码头业务收入,2023,103.96,亿元,annual_report,中远海控2023年报.pdf,16,,中远海运港口码头业务收入103.96 亿元，同比增加5.98 亿元，增幅6.10%。,high,reviewed,规则抽取+人工核对年报确认
total_assets,总资产,2023,4624.29,亿元,annual_report,中远海控2023年报.pdf,7,,"70.87 -2.23 133,784,817,857.95 133,693,829,778.47 总资产 462,429,380,596.11 511,930,077,251.13 511,779,713,798.98 -9.67 414,275,122,319.14 414,275,122,319.",high,reviewed,
year_end_close,年末收盘价,2023,9.58,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年末收盘价,high,reviewed,自动获取
year_high,年度最高价,2023,11.73,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最高价,high,reviewed,自动获取
year_low,年度最低价,2023,9.3,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最低价,high,reviewed,自动获取
buyback_amount,回购金额,2024,20.18,亿元,annual_report,中远海控2024年报.pdf,54,,年报A+H回购总额20.18亿元（A股部分akshare交叉验证一致）,high,reviewed,A+H合计，A股部分akshare交叉验证一致
ccfi_average,CCFI 年均值,2024,1550.59,点,external,,,file://data/external_sources/ccfi_annual_sources.md#2024,上海国际海事信息与文献网（SIMIC）,high,reviewed,年报未披露CCFI年均值，外部数据补齐
container_shipping_cost,集装箱航运成本,2024,1599.15,亿元,annual_report,中远海控2024年报.pdf,17,,集装箱航运业务成本1599.15亿元,high,reviewed,规则抽取，与收入口径一致
container_shipping_revenue,集装箱航运收入,2024,2259.71,亿元,annual_report,中远海控2024年报.pdf,16,,"集装箱航运业务收入2,259.71 亿元，同比增加578.40 亿元，增幅34.40%（其中：中远海运集运1,560.60 亿元，同比增加400.12 亿元，增幅34.48%）",high,reviewed,人工核对年报确认
dividend_per_share,每股股利,2024,1.55,元/股,annual_report,中远海控2024年报.pdf,2,,akshare: 中期0.52+末期1.03=1.55元/股（2024-08-30中期5.2元/10股，2025-06-17末期10.3元/10股）,high,reviewed,akshare分红数据+年报核对
dividend_total,分红总额,2024,244.31,亿元,annual_report,中远海控2024年报.pdf,2,,本年度公司现金分红(包括中期已分配的现金红利)总额约人民币244.31亿元,high,reviewed,年报原文+akshare交叉验证
eps,基本每股收益,2024,3.08,元/股,annual_report,中远海控2024年报.pdf,7,,财务指标 2024年 2023年 本期比上年同期增减（%） 2022年 （调整后） 调整后 调整前 基本每股收益（元／股） 3.08 1.48 1.48 108.11 6.83 稀释每股收益（元／股） 3.08 1.48 1.48 108.11 6.78 扣除非经常性损益后的基本每股收益（元,high,reviewed,
equity_parent,归属于上市公司股东的净资产,2024,2346.68,亿元,annual_report,中远海控2024年报.pdf,7,,"024年末 2023年末 本期末比上年同 期末增减（%） 2022年末 （调整后） 调整后 调整前 归属于上市公司股东的净资产 234,668,062,562.89 196,115,227,226.87 196,115,256,820.06 19.66 200,590,729,463.42 总资产 497,472,213,",high,reviewed,
freight_volume,航运运量,2024,2593.9,万TEU,annual_report,中远海控2024年报.pdf,23,,本集团集装箱航运货运量合计2593.9万TEU,high,reviewed,年报行业经营性信息分析-集装箱航运业务-货运量表格合计行
interest_bearing_debt,有息负债,2024,441.96,亿元,annual_report,中远海控2024年报.pdf,101,,短期借款17.04亿；长期借款305.27亿；应付债券0.00亿(附注)；一年内到期非流动负债119.65亿；合计441.96亿,high,reviewed,短期借款+长期借款+应付债券+一年内到期的非流动负债
market_cap,年末总市值,2024,1978,亿元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价×流通股本,high,reviewed,自动获取
net_profit_parent,归属于上市公司股东的净利润,2024,491.0,亿元,annual_report,中远海控2024年报.pdf,7,,"31.13 175,447,746,641.45 33.29 391,058,496,607.18 归属于上市公司股东的净利润 49,100,495,233.55 23,860,168,952.59 23,860,257,490.68 105.78 109,703,065,983.39 归属于上市公司股东的扣除非经常性",high,reviewed,
operating_cash_flow,经营活动产生的现金流量净额,2024,693.13,亿元,annual_report,中远海控2024年报.pdf,7,,"08.28 23,752,793,941.16 106.37 109,133,011,996.68 经营活动产生的现金流量净额 69,312,919,440.49 22,583,829,373.50 22,612,054,840.80 206.91 196,814,775,064.25 主要会计数据 2024年末 202",high,reviewed,
pb_year_end,年末市净率PB,2024,0.84,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷每股净资产,high,reviewed,
pe_year_end,年末市盈率PE,2024,5.0,倍,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare: 年末收盘价÷EPS,high,reviewed,
revenue,营业收入,2024,2338.59,亿元,annual_report,中远海控2024年报.pdf,7,,"计数据 2024年 2023年 本期比上年同期 增减（%） 2022年 （调整后） 调整后 调整前 营业收入 233,859,078,966.99 175,452,975,431.13 175,447,746,641.45 33.29 391,058,496,607.18 归属于上市公司股东的净利润 49",high,reviewed,
roe,加权平均净资产收益率,2024,22.6,%,annual_report,中远海控2024年报.pdf,7,,扣除非经常性损益后的基本每股收益（元／股） 3.07 1.47 1.47 108.84 6.80 加权平均净资产收益率（%） 22.60 11.80 11.80 增加10.80个百分点 59.84 扣除非经常性损益后的加权平均净资产收益率（%） 22.56 11.74 11.74 增加10.82,high,reviewed,
terminal_revenue,码头业务收入,2024,108.10,亿元,annual_report,中远海控2024年报.pdf,16,,中远海运港口码头业务收入108.10亿元，同比增加4.14亿元，增幅3.98%。,high,reviewed,规则抽取+人工核对年报确认
total_assets,总资产,2024,4974.72,亿元,annual_report,中远海控2024年报.pdf,7,,"26.87 196,115,256,820.06 19.66 200,590,729,463.42 总资产 497,472,213,736.26 462,570,619,365.72 462,429,380,596.11 7.55 512,070,859,509.61 （二）主要财务指标 主要财务指标",high,reviewed,
year_end_close,年末收盘价,2024,15.5,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年末收盘价,high,reviewed,自动获取
year_high,年度最高价,2024,17.58,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最高价,high,reviewed,自动获取
year_low,年度最低价,2024,9.21,元,external,,,"akshare.stock_zh_a_daily(symbol='sh601919', adjust='') 不复权日线",akshare stock_zh_a_daily 不复权年度最低价,high,reviewed,自动获取
buyback_amount,回购金额,2025,65.61,亿元,annual_report,中远海控2025年报.pdf,51,,年报A+H回购总额65.61亿元（A股部分akshare交叉验证一致）,high,reviewed,A+H合计，A股部分akshare交叉验证一致
ccfi_average,CCFI 年均值,2025,1197.60,点,external,,,file://data/external_sources/ccfi_annual_sources.md#2025,上海国际海事信息与文献网（SIMIC）2026年1月全年回顾确认最终值,high,reviewed,年报未披露CCFI年均值，外部数据补齐
container_shipping_cost,集装箱航运成本,2025,1697.68,亿元,annual_report,中远海控2025年报.pdf,15,,集装箱航运业务成本1697.68亿元,high,reviewed,规则抽取，与收入口径一致
container_shipping_revenue,集装箱航运收入,2025,2107.31,亿元,annual_report,中远海控2025年报.pdf,15,,"集团营业收入2,195.04 亿元，同比减少143.55 亿元，降幅6.14%。集装箱航运 业务收入2,107.31 亿元，同比减少152.40 亿元，降幅6.74%（其中：中远海运集运1,479.33 亿 元，同比减少81.27 亿元，降",medium,reviewed,人工核对年报确认
dividend_per_share,每股股利,2025,1.00,元/股,annual_report,中远海控2025年报.pdf,2,,akshare: 中期0.56+末期0.44=1.00元/股（2025-10-16中期5.6元/10股，2026-03-20末期4.4元/10股预案）,high,reviewed,akshare分红数据+年报核对
